pmcid,title,ground_truth_report,data_source,has_numeric_values,ai_generated_advice
PMC13333163,Significance of Gastrointestinal Histiocytosis: A Case Series and Literature Review.,"PMC13333163 Case Report.
Title: Significance of Gastrointestinal Histiocytosis: A Case Series and Literature Review.

Clinical Summary (from published abstract):
Background and aims Gastrointestinal (GI) histiocytosis is an uncommon and heterogeneous finding that may represent reactive, infectious, medication-related, or neoplastic processes. Because lesions are often identified incidentally on biopsy, their true frequency, etiologic spectrum, and optimal diagnostic approach remain poorly defined. We aimed to characterize GI histiocytosis using a large institutional cohort and contextualize findings using a review of published adult cases. Methods We performed a retrospective case series of adult patients at the Cleveland Clinic Foundation with histiocytic involvement of the GI tract identified on pathology specimens between 2007 and 2022, along with a systematic review of adult cases published on PubMed from 2002 to 2022. Extracted data included demographics, presenting symptoms, indications for endoscopy, anatomic distribution, endoscopic findings, associated conditions, and available immunohistochemical and molecular results. Results The institutional cohort included 108 patients (mean age 63.7 years; 60.2% female), of whom 35% were asymptomatic. Involvement spanned the esophagus to rectum, most commonly affecting the stomach. Endoscopic findings ranged from normal mucosa to polyps, nodules, and ulcerations. Nearly half of cases lacked definitive etiologic classification. Conclusions GI histiocytosis may be more common than previously appreciated but frequently remains incompletely evaluated in routine clinical practice. Integrating clinical context with targeted histologic assessment and selective molecular testing may help distinguish incidental reactive findings from clinically significant histiocytic disorders.",abstract,True,
PMC13333185,Asymptomatic Pembrolizumab-Associated Hypertriglyceridemia.,"PMC13333185 Case Report.
Title: Asymptomatic Pembrolizumab-Associated Hypertriglyceridemia.

Clinical Summary (from published abstract):
Pembrolizumab is an immune checkpoint inhibitor that is widely used in the treatment of solid and hematological malignancies but is associated with immune-related adverse events. While the management of pembrolizumab-associated symptomatic hypertriglyceridemia associated with pancreatitis has been described, there is a lack of guidance for the treatment of pembrolizumab-associated asymptomatic hypertriglyceridemia. Here, we report a rare adverse event of pembrolizumab-associated asymptomatic hypertriglyceridemia after nine doses of pembrolizumab. The patient’s lipid panel revealed grade 4 hypertriglyceridemia and hypercholesterolemia. Treatment was held, and the patient was treated with lipid-lowering therapies with improvement. Upon re-challenge, the grade 4 elevations returned while remaining asymptomatic. This case highlights a rare immune-related adverse event of asymptomatic hypertriglyceridemia. It underlines the importance of routine monitoring for adverse events with pembrolizumab, even in asymptomatic cases.",abstract,False,
PMC13333182,Microscopic Polyangiitis With Temporal Artery Involvement Mimicking Giant Cell Arteritis.,"PMC13333182 Case Report.
Title: Microscopic Polyangiitis With Temporal Artery Involvement Mimicking Giant Cell Arteritis.

Clinical Summary (from published abstract):
A 63-year-old woman presented with a four-month history of bilateral hearing loss and three months of progressive, painful peripheral neuropathy. Her clinical course was complicated by deep vein thrombosis with pulmonary emboli and an incomplete response to initial empiric glucocorticoid therapy. Following glucocorticoid taper, she developed temporal headaches, jaw claudication, and scalp tenderness, raising concern for giant cell arteritis (GCA). Laboratory evaluation revealed markedly elevated inflammatory markers (erythrocyte sedimentation rate and C-reactive protein), microcytic anemia, mild hematuria, and strongly positive myeloperoxidase-antineutrophil cytoplasmic antibody (MPO-ANCA) by antigen-specific immunoassay with negative proteinase-3 (PR3)-ANCA. Temporal artery biopsy demonstrated transmural inflammation affecting all vessel layers without giant cells or granulomata. The combination of multisystem small-vessel involvement, MPO-ANCA seropositivity with negative PR3-ANCA, and characteristic histopathological findings established the diagnosis of microscopic polyangiitis (MPA) with temporal arteritis rather than granulomatosis with polyangiitis (GPA) or GCA. Treatment with high-dose glucocorticoids (prednisone 80 mg daily), avacopan (30 mg twice daily), and rituximab (375 mg/m² weekly for four weeks) resulted in rapid improvement of constitutional and cranial symptoms. This case highlights the importance of integrating MPO-ANCA serology and histopathological findings when temporal arteritis is the presenting feature of systemic vasculitis. It illustrates the utility of avacopan-based, glucocorticoid-sparing combination immunosuppression in this context.",abstract,False,
PMC13333146,"Severe Bradycardia, Renal Failure, Atrioventricular Nodal Blockade, Shock, and Hyperkalemia (BRASH) Syndrome Successfully Managed With Transvenous Pacing and Continuous Renal Replacement Therapy.","PMC13333146 Case Report.
Title: Severe Bradycardia, Renal Failure, Atrioventricular Nodal Blockade, Shock, and Hyperkalemia (BRASH) Syndrome Successfully Managed With Transvenous Pacing and Continuous Renal Replacement Therapy.

Clinical Summary (from published abstract):
BRASH (Bradycardia, Renal failure, Atrioventricular nodal blockade, Shock, and Hyperkalemia) syndrome is a life-threatening clinical syndrome characterized by a vicious cycle in which hyperkalemia and AV nodal blocking medications synergistically produce profound bradycardia and hemodynamic instability. A 71-year-old male with stage IIIB chronic kidney disease (CKD), heart failure with improved ejection fraction, and coronary artery disease status post coronary artery bypass grafting, on carvedilol, losartan, and torsemide, was brought to the emergency room from a rehabilitation facility for a syncopal event and unresponsiveness. He had been recently hospitalized for multifocal pneumonia and respiratory syncytial virus infection, with suspected volume depletion and ongoing AV nodal blockade contributing to the development of BRASH syndrome. He was in respiratory distress, profound shock, and bradycardia with a heart rate of 30 BPM. Labs revealed severe acute kidney injury (creatinine 6.2 mg/dL), hyperkalemia (6.9 mmol/L), and metabolic acidosis (pH 7.19). Chest radiograph demonstrated pulmonary edema. His condition rapidly progressed to airway compromise requiring intubation, cardiogenic shock requiring vasopressors, and refractory bradycardia necessitating transvenous pacing after failure of atropine, dopamine, and transcutaneous pacing. He was admitted to the intensive care unit and promptly initiated on continuous renal replacement therapy (CRRT), resulting in correction of electrolyte and acid-base abnormalities with subsequent resolution of severe bradycardia, allowing discontinuation of transvenous pacing. Infectious workup remained negative, and echocardiography demonstrated preserved left ventricular systolic function. Following stabilization, he was successfully extubated and weaned off CRRT. His subsequent hospital course was complicated by recurrent oliguric renal failure requiring initiation of intermittent hemodialysis. Upon discharge, he remained hemodynamically stable with improved mental status and was planned for long-term hemodialysis and inpatient rehabilitation. The synergistic interaction of hyperkalemia and AV nodal blockade is the central pathophysiologic mechanism underlying BRASH syndrome. Common triggers include hypovolemia and medications that promote AV nodal blockade or hyperkalemia in vulnerable patients with advanced age, CKD, and heart failure. The resulting profound bradycardia further reduces cardiac output, worsening renal perfusion and perpetuating hemodynamic instability. Prognosis depends largely on early recognition and prompt intervention. This case highlights a severe presentation of BRASH syndrome in which timely initiation of CRRT corrected the underlying metabolic derangements, and transvenous pacing provided temporary hemodynamic support, ultimately leading to clinical recovery.",abstract,True,
PMC13333155,Primary Small Cell Carcinoma of the Liver Presenting With Acute Liver Failure.,"PMC13333155 Case Report.
Title: Primary Small Cell Carcinoma of the Liver Presenting With Acute Liver Failure.

Clinical Summary (from published abstract):
Primary small cell carcinoma of the liver is an exceptionally rare malignancy and must be distinguished from metastatic pulmonary small cell carcinoma by excluding a pulmonary primary. We report a 55-year-old man with suspected alcohol-related cirrhosis and diabetes who presented for elective lithotripsy and was found to have jaundice, hepatomegaly, and acute liver dysfunction. Laboratory evaluation demonstrated marked hyperbilirubinemia and transaminitis with normal alpha-fetoprotein. Imaging revealed interval hepatomegaly with diffuse hepatic involvement compared to CT performed three months earlier, which had shown no focal lesions. Liver biopsy demonstrated small cell carcinoma with immunohistochemical positivity for CD56 and synaptophysin and negative TTF-1 staining. Chest radiograph showed no evidence of pulmonary malignancy, supporting a primary hepatic origin. The patient developed progressive liver failure, hypoxic respiratory failure, and shock and died seven days after admission. A review of 31 previously reported cases demonstrates a predominance in middle-aged males, frequent association with cirrhosis or diabetes, common presentation with abdominal pain and jaundice, and typically normal tumor markers. These findings were consistent with those observed in our patient. Reported survivors most often received combined surgical resection and platinum-based chemotherapy. This case highlights the rare yet aggressive course of primary small cell carcinoma of the liver and its potential to cause rapid liver failure.",abstract,False,
PMC13332906,Immunoglobulin A nephropathy with superimposed minimal change disease complicated by acute kidney injury requiring temporary hemodialysis.,"PMC13332906 Case Report.
Title: Immunoglobulin A nephropathy with superimposed minimal change disease complicated by acute kidney injury requiring temporary hemodialysis.

Clinical Summary (from published abstract):
Immunoglobulin A (IgA) nephropathy (IgAN) with superimposed minimal change disease (MCD) is a rare but increasingly recognized clinicopathological phenotype that is generally associated with a favorable renal prognosis. We present a case of IgAN with MCD complicated by severe acute kidney injury (AKI) during the clinical course and requiring temporary renal replacement therapy. A 38-year-old man presented with acute nephrotic syndrome. Renal biopsy showed mesangial IgA deposition, and anti-galactose-deficient IgA1 antibody (KM55) staining demonstrated co-localization with IgA deposits, supporting the diagnosis of IgAN with superimposed MCD. Electron microscopy revealed foot process effacement, leading to a diagnosis of IgAN with MCD. High-dose prednisolone therapy was initiated; however, the patient subsequently developed severe AKI requiring hemodialysis (HD). Concurrent treatment with cyclosporine A and steroid pulse therapy was administered, ultimately allowing successful discontinuation of HD. This rare case was diagnosed as IgAN with MCD based on mesangial IgA deposition supported by KM55 staining and characteristic electron microscopic findings, and this case demonstrates that severe AKI requiring temporary HD may occur during the clinical course of IgAN with MCD. Although IgAN with MCD has been increasingly recognized, reports of cases complicated by severe AKI requiring HD remain limited in the literature. This patient showed subsequent improvements in renal function and proteinuria, suggesting that this condition may be reversible. These findings highlight the importance of careful clinical management with attention to the potential risk of AKI even in patients with IgAN with MCD.",abstract,False,
PMC13332979,Update on Genetic Chorea.,"PMC13332979 Case Report.
Title: Update on Genetic Chorea.

Clinical Summary (from published abstract):
Chorea is a symptom of numerous pathophysiologically and clinically heterogeneous genetic conditions. A number of developments have been made in this field over the last years linked to improved genomic testing, large cohort collaborations and improved understanding of the molecular mechanisms. This review aims to provide an update on the new genetic conditions and phenotypes linked to chorea disorders, their modification factors and pathophysiological background. Several novel genetic conditions have been linked to chorea over the last 3 years, including mutations in FTH1, NAA60, ACBD6 or TOR1AIP2. Also, novel phenotypes have been established and linked to chorea, such as Adult-onset Neurodegeneration in Nucleotide Excision Repair Disorder (NERD-ND). Major advances have been made in understanding of the pathophysiological role of somatic instability in HD. Striatal pallidal neurons (SPNs) with 150–500 + CAG repeats seem to lose positive and then negative features of neuronal identity, de-repress senescence/apoptosis genes, ultimately leading to cell death. Improved recognition of the genetic background of chorea leads to more effective diagnostic processes, better prognostication and improved personalized treatment. The findings on somatic instability in HD suggest that neurodegeneration in HD is an asynchronous DNA process for >95% of a neuron's life, with majority of neurons in all disease stages having a HTT gene which is not biologically harmful. This has potential major therapeutic implications not only in HD but also in other neurological repeat expansion disorders.",abstract,True,
PMC13332986,Single Port Robotic Surgery in Benign Urologic Disease - A Review of Contemporary Applications and Outcomes.,"PMC13332986 Case Report.
Title: Single Port Robotic Surgery in Benign Urologic Disease - A Review of Contemporary Applications and Outcomes.

Clinical Summary (from published abstract):
The advent of the Intuitive da Vinci single-port (SP) robotic system represents a pivotal evolution in minimally invasive urologic surgery, offering enhanced dexterity, improved surgical ergonomics, and reduced patient morbidity. This review is designed to provide a comprehensive evaluation of current literature regarding the feasibility, efficacy, cost considerations, and clinical applications of the SP platform across various benign urologic surgeries including pyeloplasty, ureteral reconstruction, donor nephrectomy, renal auto-transplantation, partial cystectomy, and simple prostatectomy. The review also analyzes current limitations of the robotic platform including a narrower range of available instruments, diminished instrument grip strength, and a steeper learning curve. Across these procedures, the SP system demonstrates comparable operative outcomes when compared to multi-port (MP) and open approaches. The SP system also has notable advantages in postoperative analgesia, incisional cosmesis, and hospital length of stay. The system’s low-profile design and ability to maintain an extraperitoneal approach confer distinct benefits in patients with complex surgical histories or hostile abdomens. Although the SP platform incurs higher disposable instrument costs, overall expenditures are mitigated with decreased hospital length of stay and reduced postoperative care requirements. As surgical experience and technological refinements progress, the SP robotic platform is anticipated to achieve broader integration in benign urology. Overall, SP robotic surgery offers a safe, effective, and patient-centered alternative to established minimally invasive techniques with the potential to further optimize perioperative outcomes and redefine the standard of care in contemporary urologic practice.",abstract,False,
PMC13332954,Myocarditis as the first sign of SLE: a case report and review of the literature.,"PMC13332954 Case Report.
Title: Myocarditis as the first sign of SLE: a case report and review of the literature.

Clinical Summary (from published abstract):
Lupus myocarditis (LM) is a rare but potentially life threatening manifestation of systemic lupus erythematous (SLE). LM may be rarely the initial presentation of SLE or ma y be presented during the course of the disease. Herein, we report a case of an adult female patient who presented with a 3-day history of abdominal pain, fever and recent onset dyspnea on exertion. Twenty-four hours later the patient developed acute heart failure went into cardiac arrest during her transfer from the internal medicine department to the CT scanner. She was intubated, an intra-aortic balloon pump was inserted, and was transferred to the intensive care unit (ICU). Based on clinical signs, laboratory parameters and cardiac imaging and after the exclusion of other causes of acute heart failure LM was diagnosed. The patient received high doses of corticosteroids and cyclophosphamide and she was improved. The vasopressors were tapered off and the intra-aortic balloon pump was removed. The patient improved and she shifted out of the ICU. The initially increased troponin levels were decreased, while the ejection fraction increased to 60% five days later. The patient was followed as an outpatient after hospital discharge. At 6 months of follow-up the she was on treatment with low doses of oral steroids, hydroxychloroquine and azathioprine and her ejection fraction is 73% without signs of active disease. No recurrences of her LM have been observed during her 32 month follow-up. Prompt recognition and aggressive immunosuppressive treatment may lead to favourable prognosis. The online version contains supplementary material available at 10.1007/s00296-026-06238-6.",abstract,True,
PMC13332949,Microthrombi and hypercoagulability's contribution to delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage.,"PMC13332949 Case Report.
Title: Microthrombi and hypercoagulability's contribution to delayed cerebral ischemia after aneurysmal subarachnoid hemorrhage.

Clinical Summary (from published abstract):
Despite increasing knowledge over the last several decades of the factors contributing to delayed cerebral ischemia (DCI), it remains a significant cause of morbidity after aneurysmal subarachnoid hemorrhage (aSAH). The hypercoagulable state induced by aneurysm rupture is critical to most proposed mechanisms of DCI either through its direct contribution to microthrombi formation, or through the indirect effects of the products of coagulation on vasospasm, and inflammation. In this review we summarize clinical evidence of hypercoagulability after aSAH as well as both the clinical and pre-clinical evidence of its role in DCI, highlighting the role that microthrombi and NETosis are thought to play.",abstract,False,
PMC13333094,Corticosteroid-associated osteonecrosis in paediatric compared with adult patients: are they the same disease?,"PMC13333094 Case Report.
Title: Corticosteroid-associated osteonecrosis in paediatric compared with adult patients: are they the same disease?

Clinical Summary (from published abstract):
Osteonecrosis of the femoral head (ONFH) is a debilitating condition with a poorly characterized pathogenesis. Among the reported aetiologies, excessive alcohol consumption and corticosteroid administration are leading causes. Corticosteroids are often administered as a life-saving treatment for primary oncological or autoimmune conditions, but the subsequent development of ONFH can significantly impair the quality of life of both paediatric and adult patients. This review provides a comprehensive summary and critical analysis of recent advances in the understanding of corticosteroid-associated ONFH, with a focus on the distinctions between paediatric and adults patients. By elucidating age-dependent biological mechanisms and clinical characteristics, this work aims to enhance understanding of the disease’s pathogenesis. These insights may facilitate the development of improved strategies for early diagnosis and timely intervention, with the goal of preserving the functional and biomechanical integrity of the femoral head and improving patient outcomes across different ages. Cite this article: Bone Jt Open 2026;7(5):682–691.",abstract,False,
